Columna,Tipo_Dato,No_Nulos,Nulos,%_Nulos,Valores_Unicos,Clasificacion,Variable,Descripcion,Grupo,Tipo_ML,Usar_Regresion,Usar_Clasificacion
QN51,float64,1862,53,2.77,2,Binaria,QN51,Educación física 3+ días,Actividad física,Binaria,True,True
QN52,float64,1888,27,1.41,2,Binaria,QN52,Sedentarismo 3+ horas al día,Actividad física,Binaria,True,True
QN53,float64,1873,42,2.19,2,Binaria,QN53,Faltó a clases sin permiso,Escuela,Binaria,True,True
QN54,float64,1904,11,0.57,2,Binaria,QN54,Compañeros amables,Escuela,Binaria,True,True
QN55,float64,1886,29,1.51,2,Binaria,QN55,Padres revisan tareas,Familia,Binaria,True,True
QN56,float64,1868,47,2.45,2,Binaria,QN56,Padres entienden problemas,Familia,Binaria,True,True
QN57,float64,1893,22,1.15,2,Binaria,QN57,Padres conocen tiempo libre,Familia,Binaria,True,True
QN58,float64,1876,39,2.04,2,Binaria,QN58,Padres revisan pertenencias rara vez,Familia,Binaria,True,True
qnowtg,float64,1738,177,9.24,2,Binaria,,,,,,
qnobeseg,float64,1738,177,9.24,2,Binaria,,,,,,
qnunwtg,float64,1738,177,9.24,2,Binaria,,,,,,
qnfrvgg,float64,1880,35,1.83,2,Binaria,,,,,,
qnpa7g,float64,1900,15,0.78,2,Binaria,,,,,,
qnpe5g,float64,1862,53,2.77,2,Binaria,,,,,,
qnc1g,float64,184,1731,90.39,2,Binaria,,,,,,
qnc2g,float64,131,1784,93.16,2,Binaria,,,,,,
weight,float64,1915,0,0.0,136,Continua,,,,,,
stratum,int64,1915,0,0.0,20,Ordinal,,,,,,
psu,int64,1915,0,0.0,41,Continua,,,,,,
