Modelo,Accuracy,Precision_Clase_1,Recall_Clase_1,F1_Clase_1,AUC_ROC
Regresión Logística,0.701058201058201,0.2826086956521739,0.7358490566037735,0.4083769633507853,0.7667924528301886
Random Forest,0.7936507936507936,0.3076923076923077,0.37735849056603776,0.3389830508474576,0.7269085631349782
Árbol de Decisión,0.7195767195767195,0.24761904761904763,0.49056603773584906,0.3291139240506329,0.6284760522496372
Gradient Boosting,0.8518518518518519,0.4,0.11320754716981132,0.17647058823529413,0.7510595065312048
