Variable,Importancia
Q56,0.5144396915957563
Q2,0.4424980645292343
Q34,0.3110155424510909
Q20,0.28385324376466325
Q38,0.17990715331628093
Q39,0.15467136688831087
Q1,0.14745977509660596
Q58,0.13520731411310968
Q57,0.12845147902735493
Q55,0.1140098217244588
Q21,0.06470038510424514
Q37,0.05107165589205034
Q3,0.0463795295427824
Q36,0.0024287352664067625
Q35,0.0008966564114353374
